day,date_time,phase,temperature,ventilation,irrigation,light_hours,plant1_height,plant1_root_length,plant1_flowers,plant1_appearance,error_active,error_description
1,2025-04-06 11:44:49,germination,15.3,1.5,22.881860393405596,13.5,0.0,0.0,0,3.3,True,Irrigation too low: 22.9ml
2,2025-04-06 11:44:49,germination,19.2,1.5,73.9,12.6,0.0,0.1,0,3.9,False,
3,2025-04-06 11:44:49,germination,18.0,2.0,71.6,12.5,0.1,0.4,0,4.0,False,
4,2025-04-06 11:44:49,germination,15.8,1.7,55.7,12.9,0.3,1.0,0,4.1,False,
5,2025-04-06 11:44:49,germination,16.9,1.0,56.8,13.6,0.6,1.9,0,3.8,False,
6,2025-04-06 11:44:50,germination,19.4,1.3,54.1,12.3,1.1,3.4,0,3.7,False,
7,2025-04-06 11:44:50,germination,18.7,1.9,63.3,13.4,1.8,5.5,0,3.7,False,
8,2025-04-06 11:44:50,germination,19.3,1.5,79.6,14.0,2.5,7.5,0,3.7,False,
9,2025-04-06 11:44:50,germination,17.8,1.2,55.0,13.6,3.2,9.7,0,4.2,False,
10,2025-04-06 11:44:50,germination,18.6,1.3,89.0,12.4,3.9,11.8,0,4.0,False,
11,2025-04-06 11:44:50,growth,21.2,3.0,136.3,15.1,3.9,11.8,0,8.2,False,
12,2025-04-06 11:44:50,growth,21.5,2.1,220.99459821870988,14.3,4.0,11.8,0,8.0,True,Irrigation too high: 221.0ml
13,2025-04-06 11:44:50,growth,20.7,2.6,109.3,14.1,4.0,11.8,0,7.8,False,
14,2025-04-06 11:44:50,growth,19.3,2.6,183.1,14.6,4.0,11.9,0,8.2,False,
15,2025-04-06 11:44:50,growth,20.3,2.2,125.5,15.1,4.1,11.9,0,7.7,False,
16,2025-04-06 11:44:50,growth,18.9,2.5,188.0,14.2,4.1,11.9,0,8.3,False,
17,2025-04-06 11:44:50,growth,19.7,2.3,139.2,15.1,4.2,12.0,0,8.3,False,
18,2025-04-06 11:44:50,growth,18.8,2.8,128.6,17.170914532388935,4.2,12.1,0,7.8,True,Light hours too high: 17.2hrs
19,2025-04-06 11:44:50,growth,20.6,2.0,165.0,14.2,4.3,12.1,0,7.9,False,
20,2025-04-06 11:44:50,growth,20.1,2.5,111.1,15.4,4.4,12.2,0,8.2,False,
21,2025-04-06 11:44:50,growth,21.4,2.3,118.4,14.6,4.5,12.3,0,8.2,False,
22,2025-04-06 11:44:50,growth,21.0,2.2,89.42754709636306,14.8,4.7,12.5,0,7.8,True,Irrigation too low: 89.4ml
23,2025-04-06 11:44:50,growth,19.0,2.1,118.6,14.4,4.8,12.6,0,7.8,False,
24,2025-04-06 11:44:50,growth,21.3,2.4,165.9,14.2,5.0,12.8,0,7.8,False,
25,2025-04-06 11:44:50,growth,19.2,2.2,115.1,14.5,5.3,13.0,0,8.1,False,
26,2025-04-06 11:44:51,growth,21.9,2.4,109.8,14.0,5.5,13.3,0,8.2,False,
27,2025-04-06 11:44:51,growth,22.0,2.9,112.8,15.2,5.9,13.6,0,8.2,False,
28,2025-04-06 11:44:51,growth,19.0,2.3,109.5,15.5,6.2,13.9,0,7.7,False,
29,2025-04-06 11:44:51,growth,18.9,2.8,148.4,15.8,6.7,14.3,0,8.1,False,
30,2025-04-06 11:44:51,growth,21.0,2.2,153.7,14.6,7.2,14.8,0,7.7,False,
31,2025-04-06 11:44:51,growth,19.4,2.4,142.1,15.7,7.8,15.4,0,8.0,False,
32,2025-04-06 11:44:51,growth,21.0,2.5,141.6,15.7,8.5,16.0,0,8.0,False,
33,2025-04-06 11:44:51,growth,20.0,2.1,156.2,14.9,9.2,16.7,0,8.1,False,
34,2025-04-06 11:44:51,growth,18.3,2.2,193.3,14.7,10.1,17.5,0,8.1,False,
35,2025-04-06 11:44:51,growth,19.7,2.5,136.8,14.8,11.2,18.5,0,8.1,False,
36,2025-04-06 11:44:51,growth,20.4,2.6,120.7,15.1,12.2,19.5,0,8.2,False,
37,2025-04-06 11:44:51,growth,18.5,2.6,197.8,14.3,13.5,20.7,0,8.2,False,
38,2025-04-06 11:44:51,growth,21.3,2.1,156.2,15.2,14.9,22.0,0,8.2,False,
39,2025-04-06 11:44:51,growth,18.8,2.3,199.7,14.4,16.2,23.2,0,7.7,False,
40,2025-04-06 11:44:51,growth,21.9,2.7,188.4,14.4,17.8,24.7,0,8.1,False,
41,2025-04-06 11:44:51,growth,20.6,2.1,145.9,14.4,19.4,26.1,0,8.3,False,
42,2025-04-06 11:44:51,growth,19.7,2.6,158.6,14.2,21.0,27.6,0,8.2,False,
43,2025-04-06 11:44:51,growth,19.9,2.7,121.7,15.9,22.7,29.2,0,7.8,False,
44,2025-04-06 11:44:51,growth,21.5,2.6,191.4,15.6,24.4,30.8,0,8.1,False,
45,2025-04-06 11:44:51,growth,18.5,2.5,103.3,15.1,26.3,32.5,0,8.1,False,
46,2025-04-06 11:44:51,growth,19.2,2.5,198.7,14.2,28.0,34.2,0,8.0,False,
47,2025-04-06 11:44:51,growth,21.2,2.4,144.4,15.4,29.8,35.8,0,8.0,False,
48,2025-04-06 11:44:51,growth,19.6,2.1,101.9,15.9,31.7,37.6,0,7.9,False,
49,2025-04-06 11:44:51,growth,20.4,2.9,163.3,14.3,33.7,39.4,0,8.1,False,
50,2025-04-06 11:44:51,growth,19.6,2.1,179.3,14.8,35.7,41.3,0,8.3,False,
51,2025-04-06 11:44:52,growth,20.6,2.1,228.61311167796342,15.4,37.5,42.9,0,7.6,True,Irrigation too high: 228.6ml
52,2025-04-06 11:44:52,growth,18.0,2.8,110.0,14.3,39.3,44.6,0,8.1,False,
53,2025-04-06 11:44:52,growth,21.1,2.7,122.5,14.7,41.3,46.5,0,8.1,False,
54,2025-04-06 11:44:52,growth,20.9,2.5,133.4,15.5,43.2,48.2,0,8.2,False,
55,2025-04-06 11:44:52,growth,18.3,2.7,118.4,15.9,45.3,50.2,0,7.9,False,
56,2025-04-06 11:44:52,growth,20.7,2.5,108.8,15.2,47.4,52.1,0,8.0,False,
57,2025-04-06 11:44:52,growth,19.6,2.8,154.5,15.1,49.2,53.9,0,8.3,False,
58,2025-04-06 11:44:52,growth,21.1,2.2,224.06463615762678,15.9,51.4,55.9,0,7.9,True,Irrigation too high: 224.1ml
