day,date_time,phase,temperature,ventilation,irrigation,light_hours,plant1_height,plant1_root_length,plant1_flowers,plant1_appearance,error_active,error_description
1,2025-04-06 11:37:29,germination,15.2,1.7,87.6,12.4,0.0,0.0,0,4.0,False,
2,2025-04-06 11:37:30,germination,17.9,1.9,57.4,13.7,0.0,0.1,0,4.0,False,
3,2025-04-06 11:37:30,germination,16.5,1.3,56.9,13.2,0.1,0.4,0,4.1,False,
4,2025-04-06 11:37:30,germination,19.2,2.0,86.7,13.3,0.3,1.0,0,4.1,False,
5,2025-04-06 11:37:30,germination,18.0,1.6,73.2,13.6,0.7,2.1,0,4.0,False,
6,2025-04-06 11:37:30,germination,16.5,1.9,89.8,14.0,1.2,3.7,0,3.9,False,
7,2025-04-06 11:37:31,germination,18.5,1.6,80.7,12.4,1.9,5.7,0,4.0,False,
8,2025-04-06 11:37:31,germination,18.1,1.4,67.9,12.2,2.6,7.9,0,4.2,False,
9,2025-04-06 11:37:31,germination,21.70243448523969,1.1,66.6,12.7,3.3,9.8,0,4.1,True,Temperature too high: 21.7°C
10,2025-04-06 11:37:31,germination,15.6,1.2,52.1,12.7,4.0,12.0,0,3.9,False,
11,2025-04-06 11:37:31,growth,21.0,2.5,119.7,15.0,4.0,12.0,0,7.9,False,
12,2025-04-06 11:37:32,growth,18.7,2.4,131.4,12.663780952548441,4.0,12.0,0,7.6,True,Light hours too low: 12.7hrs
13,2025-04-06 11:37:32,growth,20.7,2.8,132.6,16.0,4.1,12.0,0,8.1,False,
14,2025-04-06 11:37:32,growth,21.4,2.9,186.4,15.3,4.1,12.0,0,7.9,False,
15,2025-04-06 11:37:32,growth,19.3,2.5,195.1,15.0,4.1,12.1,0,8.3,False,
16,2025-04-06 11:37:32,growth,20.2,2.5,112.6,14.6,4.2,12.1,0,8.0,False,
17,2025-04-06 11:37:32,growth,18.9,2.9,190.2,14.6,4.2,12.2,0,8.0,False,
18,2025-04-06 11:37:33,growth,20.6,2.7,199.5,14.9,4.3,12.2,0,8.2,False,
19,2025-04-06 11:37:33,growth,21.7,3.0,177.9,15.9,4.4,12.3,0,8.0,False,
20,2025-04-06 11:37:33,growth,19.1,2.1,113.3,14.8,4.5,12.4,0,8.3,False,
21,2025-04-06 11:37:33,growth,16.24806638289505,2.5,142.6,14.7,4.6,12.5,0,8.2,True,Temperature too low: 16.2°C
22,2025-04-06 11:37:33,growth,19.2,2.9,153.6,15.4,4.7,12.6,0,8.2,False,
23,2025-04-06 11:37:34,growth,19.9,2.7,166.5,15.3,4.9,12.8,0,8.3,False,
24,2025-04-06 11:37:34,growth,19.7,2.5,160.7,14.3,5.1,13.0,0,7.7,False,
25,2025-04-06 11:37:34,growth,18.6,2.8,137.7,15.0,5.4,13.2,0,8.0,False,
26,2025-04-06 11:37:34,growth,21.6,2.5,114.9,15.3,5.7,13.5,0,8.0,False,
27,2025-04-06 11:37:34,growth,18.4,2.6,152.4,12.753257684176015,6.0,13.8,0,7.8,True,Light hours too low: 12.8hrs
28,2025-04-06 11:37:35,growth,21.2,2.9,150.0,15.5,6.4,14.2,0,8.3,False,
29,2025-04-06 11:37:35,growth,18.8,2.6,158.1,14.6,6.9,14.6,0,7.9,False,
30,2025-04-06 11:37:35,growth,21.5,2.7,153.1,15.8,7.4,15.2,0,8.0,False,
31,2025-04-06 11:37:35,growth,19.2,2.2,165.1,15.3,8.1,15.8,0,7.8,False,
32,2025-04-06 11:37:35,growth,19.2,2.1,197.5,16.0,8.8,16.4,0,7.7,False,
33,2025-04-06 11:37:35,growth,19.4,2.8,168.1,14.7,9.5,17.1,0,8.1,False,
34,2025-04-06 11:37:36,growth,21.3,2.4,144.7,15.4,10.5,18.0,0,7.8,False,
35,2025-04-06 11:37:36,growth,20.2,2.1,111.7,15.2,11.6,19.0,0,7.9,False,
36,2025-04-06 11:37:36,growth,19.4,2.5,161.8,14.7,12.6,20.0,0,8.3,False,
