day,date_time,phase,temperature,ventilation,irrigation,light_hours,plant1_height,plant1_root_length,plant1_flowers,plant1_appearance,error_active,error_description
1,2025-04-06 11:37:19,germination,19.3,1.5,82.1,13.6,0.0,0.0,0,3.9,False,
2,2025-04-06 11:37:19,germination,16.9,1.1,98.2,13.1,0.0,0.1,0,3.9,False,
3,2025-04-06 11:37:19,germination,18.8,1.0,96.4,13.3,0.1,0.4,0,3.9,False,
4,2025-04-06 11:37:19,germination,16.3,1.4,98.2,12.4,0.3,1.0,0,3.8,False,
5,2025-04-06 11:37:19,germination,18.0,1.5,57.2,13.7,0.7,2.2,0,3.7,False,
6,2025-04-06 11:37:20,germination,19.3,2.412193708443341,96.5,13.8,1.3,3.9,0,4.0,True,Ventilation too high: 2.4/hr
7,2025-04-06 11:37:20,germination,16.8,1.9,75.5,13.6,2.0,5.9,0,4.1,False,
8,2025-04-06 11:37:20,germination,13.50444525676216,1.9,60.0,13.7,2.6,7.8,0,4.0,True,Temperature too low: 13.5°C
9,2025-04-06 11:37:20,germination,17.0,1.1,83.5,12.5,3.3,9.9,0,4.2,False,
10,2025-04-06 11:37:20,germination,22.915609445407792,1.6,87.7,13.6,4.1,12.2,0,3.7,True,Temperature too high: 22.9°C
11,2025-04-06 11:37:21,growth,20.0,2.8,185.2,15.9,4.1,12.2,0,8.2,False,
12,2025-04-06 11:37:21,growth,20.1,2.4,108.0,15.6,4.1,12.2,0,7.9,False,
13,2025-04-06 11:37:21,growth,20.9,2.5,101.7,14.8,4.1,12.2,0,7.7,False,
14,2025-04-06 11:37:21,growth,20.9,2.5,125.6,15.8,4.1,12.3,0,7.9,False,
15,2025-04-06 11:37:21,growth,15.167764354573935,2.6,182.7,14.0,4.2,12.3,0,7.7,True,Temperature too low: 15.2°C
16,2025-04-06 11:37:22,growth,20.4,2.5,113.1,14.6,4.2,12.3,0,8.1,False,
17,2025-04-06 11:37:22,growth,19.7,2.5,160.7,15.9,4.3,12.4,0,7.9,False,
18,2025-04-06 11:37:22,growth,21.0,2.7,171.0,14.8,4.3,12.4,0,7.7,False,
19,2025-04-06 11:37:22,growth,20.4,2.4,106.3,14.9,4.4,12.5,0,7.8,False,
20,2025-04-06 11:37:22,growth,19.3,2.9,216.44803542035245,14.7,4.5,12.6,0,7.9,True,Irrigation too high: 216.4ml
21,2025-04-06 11:37:22,growth,21.4,2.7,124.9,15.4,4.6,12.7,0,8.3,False,
22,2025-04-06 11:37:23,growth,19.0,2.3,116.6,15.0,4.8,12.8,0,8.0,False,
23,2025-04-06 11:37:23,growth,18.6,2.8,146.1,14.9,4.9,13.0,0,8.2,False,
24,2025-04-06 11:37:23,growth,18.2,2.1,149.9,15.2,5.1,13.2,0,8.0,False,
25,2025-04-06 11:37:23,growth,20.8,2.4,198.4,14.8,5.4,13.4,0,7.8,False,
26,2025-04-06 11:37:23,growth,19.3,2.9,164.4,14.3,5.6,13.6,0,8.3,False,
27,2025-04-06 11:37:23,growth,20.3,2.3,154.7,15.4,6.0,13.9,0,8.0,False,
28,2025-04-06 11:37:24,growth,20.9,2.3,169.1,17.850411718057387,6.3,14.3,0,8.2,True,Light hours too high: 17.9hrs
29,2025-04-06 11:37:24,growth,18.2,2.9,166.9,14.8,6.8,14.7,0,7.8,False,
30,2025-04-06 11:37:24,growth,18.7,2.8,167.7,15.1,7.3,15.2,0,8.1,False,
31,2025-04-06 11:37:24,growth,21.1,1.8142419958775644,157.5,15.8,8.0,15.8,0,7.7,True,Ventilation too low: 1.8/hr
